letter,unit-0,unit-1,unit-2,unit-3,unit-4,unit-5,unit-6,unit-7,unit-8,unit-9,unit-10,unit-11,unit-12,unit-13,unit-14,unit-15,unit-16,unit-17,unit-18,unit-19,unit-20,unit-21,unit-22,unit-23,unit-24,unit-25,unit-26,unit-27
HI! GOOD MORNING.,0.503330545,0.256193347,0.228518209,0.215572536,0.228518209,0.414835321,0.315218675,0.443037559,0.418972286,0.302340794,0.319070778,1.612914987,0.77187668,0.04377615,0.894925194,0.210171113,0.77187668,0.074868735,0.759771617,0.232054887,0.976168872,0.04377615,0.657553614,0.242651793,1.204162442,0.061908824,0.713766057,1.418999008
HI! GOOD MORNING.,0.503115295,0.264029427,0.241439991,0.235773074,0.232694294,0.416025147,0.29823197,0.441941738,0.422119765,0.289645008,0.324574426,1.634844441,0.783122755,0.047154615,0.90581057,0.210881848,0.783122755,0.077521709,0.767308295,0.240692111,0.988667761,0.045202536,0.666731768,0.233081366,1.223885875,0.052003143,0.718279528,1.430963399
HI! GOOD MORNING.,0.506172982,0.254575677,0.224499971,0.217796964,0.231008565,0.409927213,0.297534089,0.423585699,0.404026576,0.285741814,0.311552447,1.618251226,0.780468665,0.046839008,0.896016814,0.204601672,0.780468665,0.065339089,0.754863665,0.231649366,0.98205059,0.039263906,0.654705425,0.239205127,1.208773148,0.058643627,0.706162783,1.421385936
HI! GOOD MORNING.,0.509997563,0.248392169,0.233270695,0.234813847,0.232754037,0.409438396,0.313810606,0.426715734,0.415856774,0.289880283,0.318947586,1.625690635,0.796216902,0.046550807,0.878661475,0.182612646,0.796216902,0.07152954,0.77039672,0.235581633,0.969094445,0.041780628,0.659880386,0.232883309,1.2005336,0.055947108,0.699338846,1.409075331
HI! GOOD MORNING.,0.499262081,0.248392169,0.233270695,0.21944261,0.232883309,0.409438396,0.29081321,0.426715734,0.407079351,0.297362956,0.313138531,1.615289912,0.764041691,0.047192918,0.902787006,0.196275438,0.764041691,0.07152954,0.77039672,0.23339968,0.955583754,0.049068859,0.667634082,0.225530001,1.183185432,0.060595571,0.711921343,1.381660935
HI! GOOD MORNING.,0.493735736,0.243198282,0.219688738,0.206265224,0.211707737,0.410288825,0.302972262,0.431327778,0.411411163,0.292964957,0.3164707,1.605114022,0.761347197,0.032329384,0.898028719,0.190941492,0.761347197,0.078410273,0.76866067,0.228334162,0.948245747,0.056542452,0.666902305,0.235361467,1.171256324,0.044355549,0.70678065,1.381846201
HI! GOOD MORNING.,0.503819101,0.25277416,0.221632708,0.215500797,0.221069473,0.416885825,0.31283877,0.426421367,0.406437415,0.285326647,0.31283877,1.611732325,0.777480386,0.04737203,0.879648409,0.195319883,0.777480386,0.063654252,0.761603503,0.229915722,0.962745782,0.035309026,0.663255412,0.229508671,1.186640719,0.05296354,0.714080865,1.387154994
HI! GOOD MORNING.,0.502141677,0.263280032,0.231810459,0.22555355,0.231398596,0.410513657,0.292459555,0.422649678,0.402614666,0.290276991,0.321463268,1.610636347,0.758628165,0.055821656,0.899284294,0.194192306,0.758628165,0.06228301,0.766633257,0.242142005,0.947761147,0.031898089,0.654105294,0.232495277,1.184451467,0.053494721,0.711209364,1.38327507
HI! GOOD MORNING.,0.483233634,0.238784629,0.222741942,0.20744283,0.222883952,0.412744694,0.299558803,0.413663607,0.392709797,0.279787831,0.309839485,1.605998281,0.765714168,0.039775347,0.893308599,0.179474546,0.765714168,0.071152304,0.787391143,0.226405243,0.936470821,0.046385627,0.676929195,0.239181831,1.159804373,0.04283936,0.722336069,1.370859508
HI! GOOD MORNING.,0.481489947,0.241113623,0.217151046,0.203483645,0.20896514,0.413345613,0.293327383,0.40989316,0.396760345,0.282673662,0.307097954,1.593864601,0.737884728,0.040981436,0.903202178,0.189171356,0.737884728,0.075822046,0.790462167,0.236378814,0.917253464,0.053914645,0.675883152,0.225612731,1.150179098,0.051462683,0.717602825,1.3491834
HI! GOOD MORNING.,0.484967146,0.252030382,0.219997299,0.207167698,0.219546638,0.407019946,0.288551213,0.414494724,0.403435232,0.287978577,0.310485833,1.589998453,0.723560033,0.033503472,0.919650845,0.200692101,0.723560033,0.069900651,0.778592749,0.236626449,0.92122903,0.047381065,0.674635981,0.228101673,1.152057599,0.052030415,0.722281335,1.352034037
HI! GOOD MORNING.,0.480788682,0.234873643,0.202477278,0.187857018,0.194378187,0.398833984,0.304982136,0.421230607,0.399819572,0.284853222,0.303580903,1.556648686,0.7188143,0.032396365,0.887580576,0.190629965,0.7188143,0.087229881,0.778861427,0.230504175,0.899145033,0.045815378,0.672273352,0.219274572,1.126472652,0.034361534,0.719908525,1.318983677
HI! GOOD MORNING.,0.48442479,0.228489602,0.196018164,0.181189017,0.204008573,0.405233132,0.304677088,0.416177489,0.394744728,0.287007509,0.29433849,1.556915588,0.717460766,0.032641372,0.887078447,0.198549713,0.717460766,0.085196481,0.782414769,0.232247431,0.902004014,0.040801715,0.677308463,0.229071742,1.131319053,0.033645956,0.730293704,1.333510898
HI! GOOD MORNING.,0.480914881,0.203983432,0.17089536,0.16202434,0.170318334,0.402297008,0.30667146,0.405141855,0.391884598,0.277104257,0.303660588,1.563220038,0.754979532,0.029209353,0.865921196,0.17488124,0.754979532,0.082616527,0.766710751,0.225673792,0.921439988,0.036229744,0.656198578,0.218882831,1.145140768,0.033402173,0.699384216,1.339251485
HI! GOOD MORNING.,0.478412743,0.214683279,0.182269413,0.165842015,0.182269413,0.413289351,0.301131368,0.412877339,0.400234801,0.290194204,0.298063736,1.561697748,0.734705166,0.026091791,0.881964276,0.186149886,0.734705166,0.086142433,0.775281897,0.216577579,0.912019124,0.055349046,0.676779003,0.214683279,1.125430606,0.023337207,0.712883874,1.317674175
HI! GOOD MORNING.,0.483943464,0.228830793,0.186519355,0.171283169,0.194980406,0.401560688,0.300753424,0.40661978,0.38346874,0.281536155,0.31141633,1.590287752,0.761305061,0.034920262,0.886379249,0.191078546,0.761305061,0.083413992,0.777157571,0.222311868,0.943607565,0.054230669,0.677605543,0.211904511,1.162809881,0.042347038,0.715502054,1.352562014
HI! GOOD MORNING.,0.486073474,0.215830243,0.190126722,0.174595861,0.198751413,0.409327048,0.296686127,0.414483985,0.400491611,0.289437931,0.311872833,1.589495592,0.76694784,0.035595635,0.88421939,0.196867471,0.76694784,0.065748566,0.764904328,0.215830243,0.957780595,0.043166049,0.673445696,0.207915222,1.169951225,0.05033983,0.718633686,1.353102431
HI! GOOD MORNING.,0.49475638,0.213141957,0.195412307,0.187180692,0.204276767,0.400967258,0.287388103,0.417135526,0.40282836,0.286427625,0.302210839,1.584310127,0.760926755,0.036585206,0.884922565,0.191546403,0.760926755,0.075812789,0.77517583,0.216076924,0.944737078,0.044366079,0.674422772,0.222539119,1.15872783,0.039682227,0.724132695,1.354437603
HI! GOOD MORNING.,0.482552255,0.234531181,0.190145592,0.191210842,0.189503568,0.403107849,0.302330886,0.405719589,0.400276148,0.271163072,0.306997791,1.576481563,0.763673962,0.037164707,0.878784355,0.177092394,0.763673962,0.072671301,0.772716845,0.216705621,0.935349201,0.045068828,0.676272738,0.216518078,1.149034157,0.05771626,0.713170586,1.344139532
HI! GOOD MORNING.,0.494266533,0.218901904,0.18201523,0.174838231,0.200173421,0.398381557,0.276443517,0.400037176,0.393477892,0.282211079,0.303782064,1.57687456,0.748649368,0.028743228,0.902418356,0.187382922,0.748649368,0.078190034,0.770511542,0.227235171,0.935149344,0.052999894,0.672677518,0.218901904,1.15867657,0.052999894,0.721735534,1.352154287
HI! GOOD MORNING.,0.500380888,0.221609844,0.202649679,0.186095857,0.202649679,0.399194786,0.29803193,0.423385012,0.399512828,0.288210338,0.300437164,1.571146483,0.751177456,0.029098798,0.884766171,0.189700955,0.751177456,0.094738823,0.774815266,0.221227428,0.934293486,0.065066891,0.680936746,0.230230161,1.152437317,0.033177734,0.727469952,1.360287114
HI! GOOD MORNING.,0.485912658,0.216105041,0.188423651,0.192073843,0.197642354,0.416666667,0.291219896,0.410051657,0.395284708,0.274019717,0.304195204,1.590799284,0.760573614,0.026352314,0.895833333,0.194543625,0.760573614,0.08789593,0.775548641,0.230488611,0.95032889,0.059657588,0.689517243,0.224381867,1.175265927,0.04658475,0.745414221,1.373989528
HI! GOOD MORNING.,0.490296605,0.240590284,0.20426387,0.199515528,0.221627983,0.418790806,0.300034996,0.420531243,0.397426212,0.278247571,0.311969444,1.603685384,0.780011401,0.042731531,0.888826118,0.202468109,0.780011401,0.074627411,0.755997959,0.227121203,0.979149002,0.048721442,0.668922505,0.23110609,1.200824453,0.068902524,0.737289198,1.400166937
